Stkcd,other_receivables,fix_assets_net,intangible_assets_net,ttl_assets,ttl_current_assets,net_assets,total_liab,current_liab,year,retained_earnings
000008,83032888.92,182830843.63,168491630.86,8192656625.83,4415379602.65,6172486051.4,2020170574.43,1966552673.91,2016,686230772.59
000008,60575509.96,245093104.21,199665232.82,10678315229.7,6481932951.62,7187053024.04,3491262205.66,3429077484.47,2017,1531920523.96
000008,76366188.72,307839487.05,233927456.12,10466364830.02,5632607970.79,7404851995.14,3061512834.88,2771347873.62,2018,1716235104.1399999
000008,174561371.73,443826748.35,280909583.85,12044543142.96,6618083693.42,7576480345.24,4468062797.72,4102461891.07,2019,2122653873.72
000009,575270112.36,1171521053.72,406446094.85,13171329970.76,9625613014.8,4693352662.36,8477977308.4,6636305719,2012,1366620900.23
000009,503374682.02,1580430865.74,471567894.51,13611801387.92,9410692553.66,5052731140.03,8559070247.89,7229715938.23,2013,1517223328.15
000009,246437919.26,1654628246.56,532865665.89,14725495570.64,10147248049.59,5464128278.29,9261367292.35,6150755294.24,2014,1532044835.6599998
000009,217965234.22,2252462264.2,543059118.95,18113933205.77,12534468630.27,6553582678.71,11560350527.06,8242044558.45,2015,2250697212.9
000009,768880668.77,2988464386.74,947973622.84,21622925841.2,14100133636.79,8134737848.16,13488187993.04,9973637013.83,2016,1974606717.06
000009,692276506.22,3714894926.65,1069685559.19,27109464910.13,18214882103.12,9945905427.97,17163559482.16,11095473345.47,2017,2064823654.87
000009,816076023.54,4184108030.6,1096987300.03,29849801106.4,20135017881.68,10450547026.42,19399254079.98,12857121626.16,2018,2235617340.08
000009,867843570.25,4663303248.79,1098314569.05,30209805595.97,19695647223.85,10707590318.3,19502215277.67,12308558110.72,2019,2517987619.24
000010,4646270.69,35833975.34,7077937.31,239779833.32,186219758.3,95375117.75,144404715.57,144363207.69,2012,-116979282.82
000010,43666049.26,43670392.88,7867647.57,1027789609.41,959796631.67,659685073.25,368104536.16,365872135.63,2013,-101731508.72
000010,60972341.96,48110422.88,5086744.5,804218432.41,695949001.79,551590564.16,252627868.25,197549960.19,2014,-176284713.73000002
000010,109945323.38,57220652.44,12234768.4,5162182903.59,3443557674.14,2170301987.92,2991880915.67,2252193438.74,2015,-155314080.5
000010,62218064.92,69760480.08,12072320.9,4853287591.16,3031055667.73,2209600252.22,2643687338.94,2172452437.97,2016,-115436953.56
000010,52419499.41,62794410.6,11696572.7,3105153052.01,2818944678.26,1179597646.03,1925555405.98,1827387438.15,2017,-1164390858.54
000010,191837688.95,71030184.83,9980318.19,3273278297.36,2618549053.14,590810693.12,2682467604.24,2607383471.71,2018,-1895891336.46
000010,226591207.25,44091955.9,8374135.74,4291660034.27,3572351803.02,753730205.21,3537929829.06,3525322893.7,2019,-1848913774.92
000011,6371689.34,78821168.21,114098153.11,3950705938.73,3190069550.64,1504018629.99,2446687308.74,2278634250.85,2012,792973706.9499999
000011,7919365.82,75301015.72,106945090.07,3873252714.32,3144603881.49,1803643379.74,2069609334.58,1814227581.82,2013,1093814270.76
000011,6638425.25,64069233.96,99792587.03,3883288145.46,3191649437.49,2075104749.13,1808183396.33,1493839909.88,2014,1362318177.6699998
000011,11619503.47,85929516.37,92640083.99,4379763486.1,3665271757.93,2100768853.67,2278994632.43,1999449750.43,2015,1388022744.1399999
000011,9542311.3,73932007.89,85487580.95,6654356144.1,5628030102.19,2411296822.81,4243059321.29,4105669823.82,2016,1695201658.52
000011,91345782.84,29346901.33,,5393331548.87,4505840020.84,2922555881.14,2470775667.73,2416223746.31,2017,2210888156.33
000011,24428411.19,32612592.4,,5820202137.54,4712264140.96,3341199311.01,2479002826.53,2425060370.12,2018,2624818281.44
000011,917981165.74,93557782.83,700369.66,10772491740.53,9458354001.67,3266567301.19,7505924439.34,5200678293.3,2019,2474180243.44
000012,63047384,9418430703,929486926,14335809746,1718888246,7268194760,7067614986,4050457973,2012,3343994157
000012,109366023,7979937683,933329528,15078866777,2322885855,8400912582,6677954195,3917345907,2013,4568623562
000012,193553156,9851117915,946586310,15284388305,1520348297,8513628150,6770760155,5729003484,2014,4792273565
000012,283804370,10199674929,846238811,15657180160,2347773184,7645471477,8011708683,5247578008,2015,4287258895
000012,200809149,11457972991,1032458977,17146815630,2645365508,8129191019,9017624611,6955222220,2016,4462379803
000012,205939019,11540769697,1047222407,19535002368,4935590342,8779623111,10755379257,7455847953,2017,5080234559
000012,207424295,9930843775,1035731324,19114234184,4928108169,9449432462,9664801722,6195246306,2018,5410570098
000012,202854864,9783037301,1044826287,18201235959,4733350313,9865855528,8335380431,6383791688,2019,5805852127
000014,10210814.55,26806675.53,0,2020502625.83,1826963807.84,633374554.85,1387128070.98,1236872321.93,2012,372800510.52
000014,10682605.49,28114465.54,187299.98,1892715842.28,1681396588.41,663539748,1229176094.28,648878331.3,2013,396512304.67
000014,13429271.23,22555595.87,146299.94,2236734317.07,2039568512.42,723357411.93,1513376905.14,773035448.72,2014,454270305.61
000014,11494368.41,20561099.54,701991.59,2170514993.03,1981128600.35,772937015.38,1397577977.65,722577977.65,2015,503402658.88
000014,10898718.55,19926842.77,525891.59,1873814393.41,1696687678.17,794586740.93,1079227652.48,749227652.48,2016,524536473.91999996
000014,11055436.2,17924806.73,349791.59,1528276983.32,1355552681.71,800149643.62,728127339.7,638127339.7,2017,529141499.79
000014,11647520.02,15445624.64,191391.81,1917248982.8,1788555368.31,950254666.06,966994316.74,898546171.44,2018,673124865.73
000014,6570095.6,14152081.1,56291.85,1972365635.76,1852455940.72,955923185.99,1016442449.77,976442449.77,2019,679487734.96
000016,316590715.96,1887836271.02,290280443.01,16562917198.06,13303718073.36,4246847782.12,12316069415.94,11757251071.97,2012,1552776911.62
000016,298749414.95,1908503979.8,359585571.12,15743284335.49,12504109237.88,4280102679.42,11463181656.07,11294245671.42,2013,1585900188.6799998
000016,298975391.68,1783695548.92,347626130.58,16779359276.65,12870313630.13,4297456505.02,12481902771.63,11317411339.06,2014,1593931225.17
000016,160165779.82,1763503189.5,352591887.48,14250367548.28,10560402157.71,3075450417.13,11174917131.15,10926764350.14,2015,325072183.61999995
000016,222389921.8,1573978914.03,302045627.44,17243119597.97,13407622612.24,3318498894.67,13924620703.3,13649080549.91,2016,420745211.65
000016,182405099.39,1587170348.35,205057773.69,23558735469.78,18891138468.34,8198189807.39,15360545662.39,15031253891.7,2017,5477770367.360001
